Ime,Kraj,Leto,Moc [kW],Regija
Samooskrba,Žiri,2017,10,Gorenjska
Samooskrba,Tržič,2017,9.5,Gorenjska
Samooskrba,Naklo,2017,9,Gorenjska
Samooskrba,Cerklje na Gorenjskem,2017,7.98,Gorenjska
Samooskrba,Preddvor,2017,10.83,Gorenjska
Samooskrba,Šenčur,2017,9.98,Gorenjska
Samooskrba,Križe,2017,5,Gorenjska
Samooskrba,Preddvor,2017,7.08,Gorenjska
Samooskrba,Radovljica,2017,11,Gorenjska
Samooskrba,Preddvor,2017,11,Gorenjska
Samooskrba,Radovljica,2017,11,Gorenjska
Samooskrba,Tržič,2017,11,Gorenjska
Samooskrba,Žirovnica,2017,11,Gorenjska
